tweet,final_label
the girl in the hair salon asked me shall i trim your eyebrows how old do i feel,NEUTRAL
egh blah and boooooooooooo i dunno wanna go to work hangovers suckkkkkk im a drunk mess,NEGATIVE
visiting my friendster and facebook,NEUTRAL
i donbt like to peel prawns i also dont like going shopping running out of money and crawling round the car looking for more,NEGATIVE
which case i got a new one last week and im not thrilled at all with mine,NEGATIVE
then you should check out httptwittersuckscom and connect with other tweeple who hate twitter,NEUTRAL
also bored at school its my third freelesson freistunde,NEUTRAL
hm both of us i guess,NEUTRAL
it is u have dissappointed me that past few days,NEGATIVE
romance zero is funny,POSITIVE
id rather do the early runbut i am a morning runner,NEUTRAL
bah a coworker ran into work late and her bag smacked into my knee it really hurts now,NEGATIVE
will be back later httpplurkcomprpk,NEUTRAL
aw torn ace of hearts hunchback,NEGATIVE
what fun are you speaking of,NEUTRAL
i lost all my friends im alone and sleepyi wanna go home,NEGATIVE
haha yes,NEUTRAL
i give in to easily,NEGATIVE
what better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine our wine was a red,POSITIVE
mannnn got an iphone im jealous httpbitlyngnar,NEGATIVE
is at a photoshoot,NEUTRAL
hes awesome have you worked with him before hes a good friend,POSITIVE
yay playing a show tonight boo its gonna soggy and im at work right before playing,NEUTRAL
chilliin,POSITIVE
if you know such agent do let me know,NEUTRAL
i still smell of smoke kitchenfire,NEUTRAL
a celticslakers rematch sounds better dont you think lol,POSITIVE
anyone have an extra keane ticket i promise to buy you a drink and take rad pics for your fb blog flickr etc,NEUTRAL
you can ride one you can catch one but its not summer til you pop open one,NEUTRAL
she is good so gorjuz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,NEUTRAL
ok im out of here for now just popped in to say hi and check on things ill probably head to the guttah later on tonight,NEUTRAL
wow i am really missin the family today baddd,NEGATIVE
my sources say no,NEUTRAL
i am sooo tired,NEGATIVE
hey you change your twitter account and you didnt even tell me,NEUTRAL
thank yyyyyyyyyoooooooooouuuuu,POSITIVE
lucky kidi so wanna see loserville pity im in oz,POSITIVE
fell asleep waiting for my ride,NEUTRAL
sick with a flu like thing,NEGATIVE
still no reply from about my simfinger problem so no irape parody video until i get a response sorry guys,NEGATIVE
happy star wars day everyone and enjoy the holiday uk,POSITIVE
miles from you im in essex so give me plenty of warning so i can arrive in time to get at least one of those free beers,NEUTRAL
his snoring is so annoying n it keeps me from sleeping like right now lol but i honestly wud miss it if it eva left i love him,NEUTRAL
i miss you bby wish you were going tomorrow to make me do good,NEGATIVE
well what im working on isnt quite ready to post about publicly still beta testing but its a cool new script i coded,POSITIVE
sweeeeet san fran is awesome love it there,POSITIVE
mounce yes and it lasts way past my bedtime,NEUTRAL
hi how are you doing just joined twitter,NEUTRAL
waiting for sleeping pills to kick in gonna be so tired at work tomorrow,NEGATIVE
eating ice cream and then getting ready for graduation,NEUTRAL
happy mothers day to all you mums out there,POSITIVE
caseys gone but why so she piddled a little on the carpet shes prolly freaked cause its new can we get her back,NEGATIVE
hemp cloth is marvelous but unfortunately no,NEGATIVE
gonna read a story bout adam lambert online then bed nighty night,NEUTRAL
we saw that in none d the baddies the best,POSITIVE
am and im on the beach pretty,POSITIVE
certainly not cheers than huh,NEUTRAL
week post myhorrible traumatic jumping cholla accidentchollas next dirty trickpieces are starting to emerge from my hand ouch,NEGATIVE
i realy wanted to go out cause its so nice but everybodys busy,NEGATIVE
awesome im down in ocean beach if you know where that is by the way yourbiggestfan im a real big fan of yours,POSITIVE
at least i get to watch over time lets go pens,NEUTRAL
cool i wear black most of the time when i go out,NEUTRAL
haha i do not know how to work blip apart from the obvious thanks for reblipping my song have a nice day,POSITIVE
have a safe trip joshy pooyoull knock them dead at your speech,POSITIVE
woof i wish i was allowed to go,POSITIVE
if u have a friendster add me my email adress add me lococrimestcom add me leave some comment,NEUTRAL
has tickets,NEUTRAL
thank you afrin nasal spray also i got a giant teacup tonight,POSITIVE
acsm its unfathomable i think the other one and the is one that should be kept to the comfort of our bedrooms yes,NEUTRAL
aww i love my daddy he works days a week almost all day and still tries to go to sf with all of us,POSITIVE
so many tests todayyy i dont feel confident about anyy,NEGATIVE
graduation is done im a little sad anyone want to hang out,NEGATIVE
hahaa your awesomee,POSITIVE
holy smokes star trek was freaking awesomeeeee,POSITIVE
i hate fallout it keeps making me jump im also low on health money ammo and food dont worry ill get through it,NEUTRAL
i had it on my itunes but then i lost all my songs,NEUTRAL
whats with the gloomy weather the sun must be too tired to come out and play heading to victoria gardens for some impulse buys haha,NEUTRAL
not looking forward to next week maths geography english and french exams totalling hours,NEGATIVE
poor you get outside and sleep in the garden the sun will do you good but dont forget suncream,NEGATIVE
not well,NEGATIVE
not a prob hun,POSITIVE
at dads watching some mtv and am going on sims in a minutee,NEUTRAL
absolutely,NEUTRAL
whats the matter chickadee,NEUTRAL
hey mia totally adore your music when will your cd be out,POSITIVE
shopping cleaning bmfing webcam chatting with nephews nothing spesh but a good bank holiday monday nonetheless,POSITIVE
o you need to ask him something lmao i love him too,POSITIVE
those splinters look very painfulbut you were being very heroic saving mr pickle,NEGATIVE
why are you sad,NEGATIVE
nice to see you tweeting its sunday th may and were celebrating mothers day here today so be nice to yer mom,POSITIVE
decided trans frm relaxed natural hair but i wish my whole head looked like my roots age of the instant gratification,POSITIVE
namaskar namaste r both the same marathi people say namaskar its a marathi word should i naaaah,NEUTRAL
congrats i cuss like that in a matter of minutes but didnt know until now there is a reward for it,NEUTRAL
humous and doritos oh yes,NEUTRAL
missed all the awesome weather because she was in a movie,NEGATIVE
today is going to be a normal day for i hope we had a group of pilots from a large airline come in last night so it was too much drink,NEUTRAL
these kids are terrible if i was in good evans id call childline,NEGATIVE
unfortunatley aerlingus no longer fly to copenhagen so were have to fly ryanair to billund and drive up to copenhagen one of the days,NEGATIVE
whats sad is that i actually had to google that term that sucks tho,NEGATIVE
hate fighting,NEGATIVE
i watched that too i didnt want her to win but she put up a good fightlol,NEUTRAL
carwarmed sprite tastes like sore throat,NEGATIVE
just came th in cross country and beat dumbo,NEUTRAL
candle wax is very enjoyable,POSITIVE
shes unassuming and unpretentious shes just as i suppose thats why shes so endearingbecause we can relate to her,POSITIVE
tomorrow valerias lunch going to get my hair done but im arraving late got my cousins babtizm or whatever you spell it,NEUTRAL
goooooddd morning tweets week three of my workout did i mention i got my new glasses yesterday,POSITIVE
me too i hate my computer so much,NEGATIVE
fine going to do my big walk today or so miles,POSITIVE
i want red cruisers i dont like the other ones lmfao,NEGATIVE
mmmmmmmm it in the morning,NEUTRAL
me neither,NEUTRAL
has about hours work to do on a sunday boo i will find time for a two hour lunchbreak though yeah,NEUTRAL
bugger forgot i still have washing in my machine,NEGATIVE
laurie sending love blessings healing thoughts to you family peace,POSITIVE
my back hurtsreally bad,NEGATIVE
ah yes i know that feeling,NEUTRAL
night of the cookers with my dad,NEUTRAL
my modem has been offline for a week now god bless the g network tim just left again may schedule has been brutal,NEGATIVE
nope i am in coquitlam,NEUTRAL
had parent teacher thing yesterday so boring going to skl on saturday lol,NEGATIVE
lichfield tweetup sounds like fun hope to see you and everyone else there,POSITIVE
big booming thunder storm almost here maybe we can all go home early ah probably not,NEUTRAL
few bevvies day in twngreat on a day off,POSITIVE
first night in myers just not the same wout lydia but im actually excited about this summer,POSITIVE
good morning,POSITIVE
its the best show ever,POSITIVE
url in previous post to timer job should be httpbitlyafdb id removed space which messed up url es,NEGATIVE
i think iv hurt my tooth and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha l,NEUTRAL
i want to know when the auditions are mander text orreply please,NEUTRAL
or even nooooo not the secret namerebecca please,NEGATIVE
i miss my neice cant wait to see her bad n grown lol,NEGATIVE
i need to get my computer fixed,NEUTRAL
really hopes her cars illness is not terminal,NEGATIVE
all the cool people i want to find for following today are english and i guess the english dont tweet,NEUTRAL
no siri woulda put honeybut i dont have any,NEUTRAL
who watched xmen origins wolverine i totally loved it haha,POSITIVE
i voted do u have a personal myspace i keep talking to fakes i you u helped me thru the hrdest time of my life x,POSITIVE
im sad that i missed you guys last night,NEGATIVE
finally got a call for marriage counseling days late,NEUTRAL
ok then,NEUTRAL
why baby,NEUTRAL
today was the last day of high school for me and i ended up going home sick stupid dead rats,NEGATIVE
were having an impromptu pool party except i dont know how to swim so i cant get in,NEUTRAL
lost my tooth day whilst i was eating gumoww,NEGATIVE
happy year,POSITIVE
oh i hella forgot to say my official good morning like to hear it here it go goooooooooooood morrrrrrrrning twitterville lol,POSITIVE
phew will make a note in case anyone else runs into the same issue,NEUTRAL
what about me i vote every day for you,NEGATIVE
im starving this diet is killing me but i cant eat after pm,NEGATIVE
i talk to you,NEUTRAL
im soo boredim deffo missing my music channels,NEGATIVE
nite nite bday girl have fun at concert,POSITIVE
had nicotine replacement patch on for hours so far so good but i did sleep for most of those hours getting a bit twitchy now,NEUTRAL
sanderson whats with twatter lately either i cant get on or the replies dont turn up,NEUTRAL
should be sleeping lost my voice a couple day ago,NEGATIVE
httptwitpiccomxlm hate when my parked car gets hit,NEGATIVE
ive heard this fall im waiting too,NEUTRAL
more nightmares huggles,NEUTRAL
i am such a creeper i feel disappointed because of it my cyberstalking skills the internet no more privacy,NEGATIVE
going to bed its late and i have headache,NEGATIVE
happy mothers day to all moms out there,POSITIVE
grabbing coffee from then making mom breakfast,NEUTRAL
im thinking that im going to have fun tonightand maybe some changes are coming,POSITIVE
thanks before the major chop,NEUTRAL
haha i know i cant handle the fame and thank you,POSITIVE
just got up and updated my ipod,NEUTRAL
yes sober hahaha tanghaling tapat dude haha wild i dont knowwww plan plan before you go to us,POSITIVE
we never miss icarly my son has a huge crush on miranda,POSITIVE
saw james carville in the store today his head is really that bald,NEUTRAL
yellow for httpblipfmzg,NEUTRAL
which means youre just going to have to come back to vancouver and have it our way hahah,NEUTRAL
feeling smooth like chrome,POSITIVE
ew traffic,NEGATIVE
downloading songs while trying to sneak a lil homework in too which should be my main priority not songs lol,NEUTRAL
rara your not alonei need coffee too,NEUTRAL
sounds like me,NEUTRAL
bad day the day you realize what mess youve put me through will be one of the happiest days of my life,NEUTRAL
walking to class i hate not having a bikeespecially mine,NEGATIVE
nesmith,NEUTRAL
failed inspection did you know you can pass wooven but not woantitip bracket which is only sold woven this is worse than taxes,NEGATIVE
jonas brothers live to party its rocking so hard i love the song,POSITIVE
happy mothers day to all the mothers in the world,POSITIVE
mins through the hr mins google wave demo that looks a lot of fun would love to test it though httpbitlywnmsc,POSITIVE
sleepy tabz is heading to bed fun night listened through the next episode of jossd,POSITIVE
the exception for a short dude larenz fineass tate yum,NEUTRAL
screw the reviews i thought wolverine was awesome but not enough dominic monaghan for my liking,POSITIVE
if you followed us recently please dont be offended that we havent followed back we hit our limit hopefully we will be free soon,POSITIVE
yes i work to,NEUTRAL
hmmm maybe thats what they meant they eluded to something brand new but you know how the media is,NEUTRAL
done at the spa now meeting vic for some late lunch,NEUTRAL
happy monday up and about going to tavares today hope everyone has a blessed day,POSITIVE
always have wanted to go to oz,NEUTRAL
thx,NEUTRAL
httptwitpiccomjaz cool luv it,POSITIVE
thats why i need to be thereto represent the blackberries,POSITIVE
okay so im dedicating my th tweet to the fact that im going to the apple store because there is a huge crack on the glass screen,NEUTRAL
if only we could ever actually be allowed to stay here and do that,NEUTRAL
let me know how that turns out,NEUTRAL
was that sass i detect as long as it isnt back sass haha,NEUTRAL
yeah i was thinking about that ahaha,POSITIVE
sports bar shatranjanpoli rest ph all sports bar andheri w dont know whether that helps google ki jai ho,NEUTRAL
im not sleeping at all until accepts my appology,NEGATIVE
wolverine was boss seriously and william was in it what the,NEGATIVE
i live for pain bring it on,NEUTRAL
okay im out for a while back later,NEUTRAL
powerblog what is this powerblog challenge you keep talking about im a newbie follower,NEUTRAL
almost died laptop screen was set to brightness after i reinstalled windows vista got a headache now insanedefaults,POSITIVE
waiting for tish to get off got to drive my moms crv to pick her up all my myself and duckie first time,NEUTRAL
trying to decide on a movie with the friends not going to well lol p no bible study nite which means day cake buy my own,NEGATIVE
going to shower because i dont want to smell at school tomorrow,NEUTRAL
sigh you know i am,NEUTRAL
discovered cause of a bug in the new netplayer build publishing bug fix now hopefully new beta by tomorrow,POSITIVE
here are free twitter tools will get you followers httpshorttoq httpjijrcomhulz httpshorttor httpveorgxpg,NEUTRAL
just got home from work and is chugging down a big bottle of apple juice,NEUTRAL
yes it does please dont go if you die i will cry which normally leads to small animals getting harmed,NEGATIVE
writing report cards soooo tired but what an amazing day check it out on fb soon,POSITIVE
it was only once for my big brotherand im done now,NEUTRAL
good news finally finished my easactive workout that has been paused for hours bad news my resistance band is torn,NEUTRAL
well good morning all what a wonderful day in the neighborhood thanks for all those that are now following another this morning,POSITIVE
ftsk and mercy mercedes were amazing tonight as always,POSITIVE
hope he is ok,POSITIVE
cant school just be done already it hurts too much seeing him every day,POSITIVE
i waited listening to wind blowing through the tumbleweed are none of you old enough to know what to do when someone says crackerack,NEUTRAL
hell yeah,NEUTRAL
him shirt at dinner do you need to ask does it actually have ville on it,NEUTRAL
i know,NEUTRAL
huh what the smelly noooo i love alex vixon,NEUTRAL
went to a party last night dindin and i showed up in matching outfits great minds think alike anyway happy birthday ate lara,POSITIVE
happy bday just woke up on this side of earth so wishes are bit late,POSITIVE
thank you for teaching me values and to be a better person each day i love so much youre the best mum in the world,POSITIVE
happy mothers day,POSITIVE
laughs im glad that you have self confidence its a wonderful trait to have ill applaud extra loud for it okay,POSITIVE
thanks,POSITIVE
twittering after days,NEUTRAL
getting ready for week its too nice today to be stuck inside working,POSITIVE
i am tres depressed,NEGATIVE
felt like behaved like my son ate to compensate pigged out on homeroasted sugar almonds painful tum threw up still feel sick,NEGATIVE
happy mothers day people i love my mom a lot still,POSITIVE
im sorry to hear that,NEGATIVE
thats awesome dude yay for surprise celebrities i got to meet him a few years ago he was soooo friendly,POSITIVE
it makes me happy to hear a girl talk or tweet about the nba but could you give my nuggets some love,POSITIVE
is getting the hang of twitter,NEUTRAL
you know your neck is jacked up when you are forced to pay for parking bc you cant turn you head to parallel park in the free spaces,NEGATIVE
i want it back now httpbitlyppwz,NEUTRAL
going to miss my roomie we will no longer be roomies starting tomorrow,NEGATIVE
bathing with two little angels keyla and janice,NEUTRAL
yep finished chocked full of spelling and grammatical errors but im cleaning it up tomorrow and popping it up hehe,NEGATIVE
hahahha lol true that i always remember my bd but i can never remember what date or even day it is,NEUTRAL
family is herehanging with them,NEUTRAL
watching ellen love her then doing the dishes and tanning its gorgeous out,POSITIVE
whats goin on hun im worried about you,NEGATIVE
im not bannished but i am at work till,NEGATIVE
morning if i get to see it ill let you know right now im going to go see wolverine,NEUTRAL
red top tabloids build em up knock em down,NEUTRAL
tonight in party w my girls minus vita,POSITIVE
why not now you made me sad i thought youd be jumping for joy,NEUTRAL
simple my a,NEUTRAL
the pics i just uploaded are the baby pics of my cats missy is now an adult and a pretty little kitty but batty is in kitten heaven now,NEUTRAL
i saw the play of it here it was amazing,POSITIVE
i am glad to break my twitter virginity with you two,POSITIVE
dinner with the fam i have missed them,NEGATIVE
live thats what i want more the better bound to be a few bad eggs though but they will soon learn,NEUTRAL
hell yeah kellynn got a twitter finally,NEUTRAL
i know it was worth a shot though,POSITIVE
just opened a facebook account im a little confused i dont really get it twitter seems much better,POSITIVE
ship im stuck,NEGATIVE
dustbin baby on at cannot wait x,POSITIVE
not going to dwell on it it happened its passed just a shame as he was so supportive such is life x,NEGATIVE
it looks like the office tv does get mlb network and it looks like mlbn will not be televising the detbal game today wieters,NEUTRAL
home empty handed no comics found today i shall now indulge in my cupcakes from magnolia bakery,NEUTRAL
laying in bed til workkk oh the life definitely pinched a nerve,NEGATIVE
today is a busy day exhausting,NEGATIVE
i was going to go on sunday but now ive got too much going on that weekend,NEUTRAL
sorry to hear ur flight got cancelled that blows,NEGATIVE
ohh my tooth is hurts ohh im sad it very hurts,NEGATIVE
before i get too distracted id like to thank my new followers for taking the trouble to follow me and to my others feelin the love,POSITIVE
u think u have bills haii just finished paying mine thats y im broke,NEGATIVE
not sure it didnt say it was big i jst saw the pics of u on ur last bday you looked so pretty i miss you,NEUTRAL
sore throat planning the tet outing to marwell thoughgood times,NEUTRAL
mcfly gig last nightt omg it was amazin didnt sit down through the whole thing mcfly did you see me and ma best mate we were in tutus,POSITIVE
days without sleep and now a migraine i thought life postr was meant to be relaxing,NEGATIVE
there,NEUTRAL
sucks,NEGATIVE
whens the sway sway winner announced,NEUTRAL
k will check it out,NEUTRAL
doing pretty well up and wide awake,POSITIVE
i want to wake up early and get a coffee tomorrow today its going to be a busyy day but have to keep writing booo whoo,NEUTRAL
i miss daddy and mommy,NEGATIVE
my dog is officially depressed that my brothers dogs are gone he doesnt want to go outside and when we did he play halfheartedly,NEGATIVE
i just realized that i cant forward text msgs with my iphone,NEUTRAL
my frist post off to find a new car for my parents exciting,POSITIVE
argh noo missed the killers on wossy that sucks missed out on brandon total failure anyone know if its repeated must investigate,NEGATIVE
seriously bored without anyone to talk to but not tired enough for sleep,NEGATIVE
i am lost please help me find a good home,NEGATIVE
its a peter gordon morning and i go to pieces and i wanna hide go to pieces and i almost die ever httpblipfmyk,NEUTRAL
ok so ive now got a bit of a bad back after lifting all drum hardware into my car downer,NEGATIVE
lmao smh that one threw me off,NEUTRAL
oh nice going,POSITIVE
is getting ready for work working all weekend,NEUTRAL
gonna celebrate mothers day with the family but gonna start the partying tonite,POSITIVE
i agree with you,POSITIVE
i only do computers am hopeless at everything else,NEGATIVE
degrees gross skies and thunderstormsperfect match for my mood lol,POSITIVE
nd aww thanks,POSITIVE
sorry rb is on ps for me,NEGATIVE
i saw amazing heeels but they were too big,NEUTRAL
i just stuck my finger down my throat and there are a bunch of bumps on my tongue throat,NEGATIVE
dang last url went down httpblipfmaigm,NEGATIVE
ohoh i missed all ur tweets im gonna have to stay awake all night to see the announcement now time difference,NEGATIVE
damnit all that sucks you were one of the ones i thought id drag back lol,NEGATIVE
my boss shes moving to nyc,NEUTRAL
this is sooo crazy i have fever,NEGATIVE
is spending her saturday morning taking notes for a research essay because some stupid recalled the book im using not fair,NEGATIVE
i think i need some new friends,NEUTRAL
looking forward to your gig in ireland see ya there,NEUTRAL
please review sunehre ad placement httptinyurlcomoowmk,POSITIVE
aww you loooove me,POSITIVE
is hungry twitter i want food,NEUTRAL
awesome lucky you,POSITIVE
yea i should know but tell me everything ps send me direct messages telling haha,NEUTRAL
haha im jewish i love that one,POSITIVE
had a great time out in the beer garden wit the boyos i think the sun got to me a bit though feel a bit ill,NEUTRAL
lm on days too matt no fun this weekend,NEGATIVE
u really dont think so maybe ur rightlol btw what phone u using think u told me bi might have an app for u,NEUTRAL
i feel your pain mine is the same way,NEGATIVE
comes home in two days,NEUTRAL
sadly no it didnt come with one,NEGATIVE
cant wait to see my boy tomorrow,POSITIVE
ehhh no just a check up i have a dentist app next week though getting my molar pulledroot canal,NEUTRAL
aww i miss driving down elmwood,NEGATIVE
omg wango tango was awsome i love my baby for taking me,POSITIVE
version of our live interactive transsiberian ticket planner is launched httptinyurlcomcljwm its very cool,POSITIVE
i really wish i could go,POSITIVE
yeah real hard but i know youll get by with it smile,NEUTRAL
im in december thats not good at all next big birthday is after it flys by for sure,NEGATIVE
this has made my night way too funny,POSITIVE
woo cavs happy mothers day,POSITIVE
i make that same face when i get home and your mom is watching soaps,NEUTRAL
i have to go to work now,NEUTRAL
i cant believe you went and got boba without me,NEUTRAL
and to you too how are you today,NEUTRAL
thanks for the warm welcome we didnt make plans because our arrival time was so up in the air,POSITIVE
days and counting,NEUTRAL
sorry friends im swamped with deadlines right now and we have family visiting to boot no charades for me,NEGATIVE
brainfreeze,NEUTRAL
just discovered a shortcoming of gravity when you use twitpic integrated it doesnt subtract the pic url from the character limit,NEUTRAL
my sunburn is peeling,NEGATIVE
perky purple nail polish isnt as perky when its chipped,NEUTRAL
httptwitpiccomsx before they put a camera in the smokers pit i can no longer vandalize that door without being caught,NEUTRAL
laying alone since mooks soo comfy in his fn play pen i thought it was ill at first now i dont have no one to cuddle with,NEGATIVE
i hate the dentist,NEGATIVE
nothing aimed at you just joining insorry,NEGATIVE
im taking a twitter break cell is dying,NEGATIVE
qood morninq,NEUTRAL
writing my english original writing storyyyyy and listening to a little respect by erasure aaaaaah,NEUTRAL
needs more followers,NEUTRAL
i wish i could get my nails done stupid job,NEGATIVE
the little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww httptwitpiccomaim,NEUTRAL
the no pants idea could be the new attempt worldwide to attract business back to the airlines,NEUTRAL
have a good one,POSITIVE
yep infact she is popular miss india talented film actress and lot more,POSITIVE
dosent want to go to work tomorrow,NEGATIVE
daniel has won dsds his voice is great,POSITIVE
o i wish the birthday massacre would come to australia i think they said theyre thinking about it tho httptinyurlcomplfch,NEUTRAL
was hoping to go to red lobster this weekend,NEUTRAL
xatl u mean jack barakats wow so have u ever gone to his house hehe i mean ur ssoo lucky to have the address,POSITIVE
i sure do hope it becomes this afternoon,POSITIVE
it means that you are now famous congrats,POSITIVE
my phone passed away yesterday he jumped off the table searching for a new phone,NEGATIVE
i have such fantastic friends including several ones met through here thanks for being in my life you are such amazing people,POSITIVE
tamlyn wishes she was as cool as my sock draw,POSITIVE
so no rice or crusty bread with the chili aawww,NEUTRAL
we are of like minds this evening my dear,NEUTRAL
come and save me from my packing please,NEUTRAL
yes i love tea if that makes me typically english then so be it,POSITIVE
a mouth for sure,POSITIVE
decde i finally just have hour of history at pm but i went to my highschool at am to make some homework with a friend,NEUTRAL
pancakes with lemon and sugar thanks,POSITIVE
si no bueno i guess i just dont entertain him,NEGATIVE
im so hunrgy right now and these heels kill me i can hardly walk in them,NEGATIVE
both electronic keys stopped working there is no keyhole cant get in my car so much for technology,NEGATIVE
yay three followers good to know more than one person in this big wide world likes fishies,POSITIVE
my name is tony not hey poor tony,NEGATIVE
goodmorning,POSITIVE
took a shift tomorrow i dont really feel like working right now,NEGATIVE
i love mine too happy mothers day to your mom john taylor much love to you too,POSITIVE
saw a black snake in the garden went back for a picture and it was gone,NEUTRAL
httptwitpiccomwukt we bought ludi her own rug dogs are the best,POSITIVE
no waterfront anymore faccia luna and clarendon will have to do,NEGATIVE
loves her mum very much happy mothers day to all the wonderful mothers out there,POSITIVE
slipped up and caught the flu feeling like poop,NEGATIVE
i have an urge to play wow but i have to wait weeks til im at my dads days til mcfly im so excited l,POSITIVE
ok the passengers no one is alive theyre all dead you just dont know it til the end then you cry,NEGATIVE
discovered and are sharing on g reader with me and didnt even know it sigh im such a g reader newb,NEUTRAL
is chilled out tonite so cannot spew venom or write funny seems like these are the only styles she has,NEUTRAL
if u do please pray me lord knows i need it,NEUTRAL
aaaaaw i want to live in the usa,NEUTRAL
morning tweeple,POSITIVE
hey i didnt get any,NEUTRAL
now you only have hours to sleep rest if you need it,POSITIVE
that makes my day so much better its been a rough one did i mention i love the new photo,NEUTRAL
i dont want to sit at home on prom night someone hang out with me,NEGATIVE
is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with,POSITIVE
concert tonight chackin out and not coming tomorrow,NEUTRAL
what happened i thought you were coming back today,NEUTRAL
lol dammit well then next time then,NEGATIVE
lol just dont ever forget me,POSITIVE
still jealous,NEGATIVE
httptwitpiccomqv me at forever ethan couldnt be there,NEGATIVE
now im sad but im not giving in firsti didnt do nothing,NEGATIVE
this week of mine was not easy but finally its over,NEGATIVE
wow what a beautiful picture and by the wayi am straightjust wanted to let you know bella,POSITIVE
in arch drawing checking out mvccs cad degree looks good to me,POSITIVE
there are people and then there are pencils some are sharp some are not and some can be sharpened my pencil philosophy,NEUTRAL
just about to go home im usually mr positive but this has been one of those daze well mins until tomorrow,NEUTRAL
but you always have lee lets go to paris,NEUTRAL
you know you want to come keep me company whilst mums at her friends for the night its such a nice evening,POSITIVE
cooking with my dad having lots of fun in the kitchen together,POSITIVE
bouncing rush makes me feel nauseous,NEGATIVE
off to woolsery this morning to hopefully see north molton u clinch the north devon league title lovely day for it,POSITIVE
playing singstar without my fave duetter,NEGATIVE
youre missing out bb im such a cereal nut i think i like every kind available,POSITIVE
thats just weird oh and what was it you were drawing for me,NEGATIVE
just woke up o mums singing to her new gnr cd replacement i bought because im a good daughter,POSITIVE
the birds are out oh man thats not cool i didnt sleep yet for the night,NEGATIVE
miles down only to go thats ok u on the radio alwas helps,POSITIVE
my street fighter iv skills are lacking cant beat seth on easy,NEGATIVE
fil with cool people like me,POSITIVE
good morning work and then its espns sunday night baseball hopefully it wont get rained out,POSITIVE
i think its under a honeymoon by the good life either that or its under a honey moon by joseph arthur,NEUTRAL
my son got stung by a bug for the first time his little finger is slightly swollen,NEGATIVE
it was hours ago i came in and its only now i realised when i went to buy something online,NEUTRAL
oh just referring to our lil exchange on lj with regards to twitter archive postings,NEUTRAL
bumping dj opus in the drunk in the car lmao dont act like u dont know,NEGATIVE
why kiss the feet of the people who kick you when you can be anything that you want to morning everyone hope you have the best day ever,POSITIVE
heres a brief preview httpbitlyehcfp omg james is creepy in that role im scared of him,NEGATIVE
im missing crab legs and attending my going away instead,NEGATIVE
hicks are mean,NEGATIVE
