filtered text,label
way to stay relevant rt thehill justice department cites th century federal law to get apple to unlock iphones httptcomptcggwzo,NEUTRAL
apple inc flash crash what you need to know httptcokoptyumv aapl,NEUTRAL
httptcohpcprhva need help on using your apple iphone amp iphoneplus checkitout applenws apple httptcokfqhpazmc,NEUTRAL
rt thehill justice department cites th century federal law to get apple to unlock iphones httptcoethqpaiom,NEUTRAL
that flash crash really screwed with a lot of traders today not me im more determined than ever to make trading work for me aapl,NEGATIVE
rt trahall the jh hines staff with their newly issued apple connected macbook and ipad mini txed httptcoyjicjbxh txed,NEUTRAL
nigga update yall headphones apple,NEGATIVE
rt thehill justice department cites th century federal law to get apple to unlock iphones httptcoethqpaiom,NEUTRAL
rt thehill justice department cites th century federal law to get apple to unlock iphones httptcoethqpaiom,NEGATIVE
ok apple you win i wont use your browser anymore since it keeps closing on me literally times today i counted,NEGATIVE
rt thehill justice department cites th century federal law to get apple to unlock iphones httptcoethqpaiom,NEUTRAL
thehill apple i cite the us constitution where judges cannot pass laws violation of the separation of powers,NEGATIVE
apple u need to get ur fucking shit together and let me txt while on youtube,NEGATIVE
thehill apple wish we could prosecute the admin for violation of privacy and criminal search and seizure,NEGATIVE
rt thehill justice department cites th century federal law to get apple to unlock iphones httptcoethqpaiom,NEUTRAL
thehill apple furthermore there are no provisions for secrecy in the constitution as such such activities are sedition by the us gov,NEUTRAL
aaplheres why apple droppedhttptcoqvpncjvpb,NEGATIVE
this one chart explains timcooks affect on apple paints an interesting story what do you think httptcocbyjlpn,NEUTRAL
rt thehill justice department cites th century federal law to get apple to unlock iphones httptcoethqpaiom,NEUTRAL
rt thehill justice department cites th century federal law to get apple to unlock iphones httptcoethqpaiom,NEUTRAL
final aapl putcallratios for monday december httptcoevjctngpj,NEUTRAL
aapl launches red apple logo for world aids day dec is world aids day and the red apple logo will be abl httptcocrcvpield,NEUTRAL
hey apple fuck you,NEGATIVE
companies growing faster than apple inc httptcopgcgckjk aapl,NEUTRAL
apple why doesnt your people explain precautions when buying an expensive laptop,NEGATIVE
rt thehill justice department cites th century federal law to get apple to unlock iphones httptcoethqpaiom,NEUTRAL
quailman apple u was bored huh,NEUTRAL
rt wagnertim robconeybeer you need an ip portfolio to defend against big companies just look at samsung apple court battles,NEUTRAL
as a die hard apple customer i must say i am truly displeased with the customer service i was given today badservice apple,NEGATIVE
apple made it clear today that i as a customer are not worth a measly an employee gave mis info and they will not stand behind it,NEGATIVE
inspired by apple and timcook on worldaidsday of appsforred in appstore go to fight aids get farmville and csrracing red,NEUTRAL
rt thehill justice department cites th century federal law to get apple to unlock iphones httptcoethqpaiom,NEUTRAL
gb apple ipad air retina wifi tablet free shipping via ebay httptcotrkyuoyew cybermonday firstworldproblems,NEUTRAL
photo love ios apple iphone love ios nocrop iphone young phone screen capturescream boy httptcofidjfxhdv,POSITIVE
why does apple force people to use its vpn built in to ios off button doesnt work ffs like i want apples nsa data collection service,NEGATIVE
then how the hell did i take this screenshot apple timcook httptconvfwwijsm,NEGATIVE
rt thehill department cites th century federal law to get apple to unlock iphones httptcowyzixqtf,NEUTRAL
rt thehill justice department cites th century federal law to get apple to unlock iphones httptcoethqpaiom,NEUTRAL
buy round lot on the open mt wsjd aapl stock briefly dove today analysts not sure why httptcofeejuje httptcoqqvmwootv,NEGATIVE
g is draining my battery fix this apple,NEGATIVE
my daughters apple ipod stolen to the thief try working as hard to earn one like my daughter had to buy hers losingfaithinpeople,0
apple your chargers suck ass they just love to break,NEGATIVE
rt thehill justice department cites th century federal law to get apple to unlock iphones httptcoethqpaiom,NEUTRAL
aaplmy three horsemen of the nasdaq apple microsoft and gilead sciehttptcocdvozfgsbx,NEUTRAL
rt thehill justice department cites th century federal law to get apple to unlock iphones httptcoethqpaiom,NEUTRAL
im hoping apple wont automatically make us download bruce springsteen and u singing together u bruce espn thatwasbad,NEGATIVE
thehill apple what a joke justice dept should prosecute killer wilson in pursuit of justice ferguson is not over,NEGATIVE
aydlettgwyn apple please educate us,NEUTRAL
rt tinfoiltricorn thehill apple wish we could prosecute the admin for violation of privacy and criminal search and seizure,NEGATIVE
the game traders play in the name of market liquidity hft darkpools stock trading algorithms aapl httptcolakjprs,NEUTRAL
aapl steve jobs emails you need to readhttptcogkltx,NEUTRAL
so so sooooo annoyed did the restore from my back up and lost my voice mails i needed to keep those thanks a lot apple,NEGATIVE
thisnyosemite update is stressing me out apple macbookpro,NEGATIVE
just broke my rd charger of the month get your shit together apple,NEGATIVE
this iphone battery isnt as good as you claim apple,NEGATIVE
nasdaq big fall fb baba twtr linkd apple fell on monday see whether follow up,NEGATIVE
iphone users face big change over apple apples google search choice monday december httptcofakkjqqda,NEUTRAL
rt chanchan aydlettgwyn apple please educate us,NEUTRAL
just updated my ram to gb apple you guys are like shallow gfs take all the money but dammit you look good,POSITIVE
apple iphone oh its not fair and i think youre really mean,NEGATIVE
whoknew why isnt apple on twitter httptcohmsbwjelk interestingfact passingthetime,NEUTRAL
rt jodispicer whoknew why isnt apple on twitter httptcohmsbwjelk interestingfact passingthetime,NEUTRAL
ibm apple ios users account for of all online sales x android users they are dominating business sales cybermonday,POSITIVE
i hate how ios capitalizes random words like i dont wanna give emphasis to some stupid word in tha sentence get ur self together apple,NEGATIVE
gramerican ive made clear i support rand paul in in most cases why is everyone pigeonholed as red or blue also u like apple,NEUTRAL
apple why was the iphone ever created,NEGATIVE
apple i fucking hate you httptcoxrxxkrdot,NEGATIVE
apple please can i have new phone for christmas spreadsomejoy,POSITIVE
perfome apple pie httptcoehsgvdejn,NEUTRAL
nasdaq recent market exit sold aapl long for a gain in days aapl forex trading stocks,NEUTRAL
apple rumoured to be launching a mega tab because biggerisbetter httptcoureeaozpai,NEUTRAL
rt chayton falke chaytonfalke nasdaq recent market exit sold aapl long for a gain in days aapl forex trading,0
apple inc pt upped by barclays morgan stanley trims stake httptcojgysemqxbl aapl,NEUTRAL
its not like the app costs money just let me download it apple,NEGATIVE
rt hamzeianalytics new ha blog post gtgtgt final aapl putcallratios for monday december httptcofonrhff,NEUTRAL
aapljim cramers best stock picks for the health care sectorhttptcocaqgzxkij,NEUTRAL
my phones been charging for an hour but it keeps losing percentage get ur shit together apple,NEGATIVE
steve jobs clave en juicio contra apple httptcoiceofgkmq httptcoedirmahxn,NEUTRAL
rt elnuevoherald steve jobs clave en juicio contra apple httptcoiceofgkmq httptcoedirmahxn,NEUTRAL
rt elnuevoherald steve jobs clave en juicio contra apple httptcoiceofgkmq httptcoedirmahxn,NEUTRAL
myths vs reality in fulltime trading httptcojhbmskgb stocks futures forex trader es nq cl aapl gpro finance esignal,0
my laptop was completely dead and blacked out for days amp i finally opened the inside and fixed it hire me apple,NEUTRAL
baseballbridget apple we couldnt even get a turkey for tday so they just dont care appleemojissuck,NEGATIVE
rt elnuevoherald steve jobs clave en juicio contra apple httptcoiceofgkmq httptcoedirmahxn,NEUTRAL
rt toricolelli my phones been charging for an hour but it keeps losing percentage get ur shit together apple,NEGATIVE
apple nasdaq aapl participates in world aids day campaign httptcoyytgugxqnb apple aapl campaign httptcoxtzsxp,NEUTRAL
well played apple httptcomgbsxyia,POSITIVE
thank you apple,POSITIVE
fix it apple httptcochoqlheho,NEGATIVE
rt iamgambino thank you apple,POSITIVE
how long does it really take for a phone to ship apple smh,NEGATIVE
apple ipod lawsuit will reveal unseen steve jobs video httptconefqogbhe,NEUTRAL
rt smartoutsource apple ipod lawsuit will reveal unseen steve jobs video httptconefqogbhe,NEUTRAL
lol dying apple httptcoephqboh,NEUTRAL
gopro what competition part gpro aapl sne httptcotgydydprt,0
so on my iphone the apple health kit is no longer gathering data sigh,NEGATIVE
trade aapl free nightly updates are posted here on twitter or you can visit the trade aapl free website here httptcoutkeapbxf,NEUTRAL
thanks apple for changing yet another fuck into duckthanks,NEGATIVE
apple yh news apple tumbles as much as percent in unusual trading by chuck mikolajczak new york reuters httptcohnuwafqsi,NEGATIVE
brwnskinbeauti cause fuck apple,NEGATIVE
rt donacamp brass band at apple store broadway winterseve nyc httptcoufworzjgpp,NEUTRAL
if i buy a gb phone i should have gbs to use apple,NEGATIVE
fuck you for breaking my music apple,NEGATIVE
rt donacamp brass band at apple store broadway winterseve nyc httptcoufworzjgpp,NEUTRAL
have apple incs ipad sales peaked aapl httptcowpaibzm,NEUTRAL
rt donacamp brass band at apple store broadway winterseve nyc httptcoufworzjgpp,NEUTRAL
barclays apple analyst joins the crowd and increases price target forbes aapl httptcozdwxecpe,NEUTRAL
just need apple to come out with a charger cord that keep a charge amp dont fall apart httptcovzhdbmzlu,NEGATIVE
rt amandazuckerman you should be able to forward a voicemail why isnt that a thing apple,NEGATIVE
apple and facebook i speak for all of humanity we want to chose what contacts are added to our contacts book from facebook thanks,NEGATIVE
apple i h everything about u,NEGATIVE
apple ur a disgrace,NEGATIVE
apple i want my pictures back,NEUTRAL
my phone is on acid right now apple fix this,NEGATIVE
apple i had a power cord problem under warranty you said it would be fine it isnt and now you wont replace it httptcofwbowdj,NEGATIVE
apple this was normal use no abuse wrapped it exactly as you instructed me to this is a fire hazard you should replace it defective,NEGATIVE
apple btw i love all of your products they rock your power cords are junk you seriously need to fix this,POSITIVE
rt donacamp brass band at apple store broadway winterseve nyc httptcoufworzjgpp,NEUTRAL
rt thehill justice department cites th century federal law to get apple to unlock iphones httptcoethqpaiom,NEGATIVE
yo apple fix your shitty imessage,NEGATIVE
aapl rt aboveavalon apples share repurchases have benefited shareholders by billion httptcoxhkqfrwht,POSITIVE
even with apple watch delayed im raising my aapl price target to httptcotgenjflzi aapl alexcho,POSITIVE
i love airmiles between chaptersindigo amp apple i earned miles during the blackfriday sale freemoney centsability cybermonday,POSITIVE
yo apple this auto correct shit gotta stop changing my shit right when i send it,NEGATIVE
first apple logo was designed by cofounder ronald wayne drawing of isaac newton reading a book under an apple tree,NEUTRAL
those pick up the slack you fuck boys apple,NEGATIVE
why is it that the no firm has acquired the bloomberg terminal service yet aapl i wish it had a goog search function,0
surface maybe good product but never better then apple macbook air its a fact,POSITIVE
fucking faggots apple,NEGATIVE
apple of course thats not their mother fucking,NEGATIVE
apple inc store logos turn red for world aids day httptconsbtalg aapl,NEUTRAL
the fuck kinda gay shit you print in the fucking ketosis apple,NEGATIVE
game apple you bitches really trying me tonight rt dremacsamillion whosflyy gams night gawd,NEGATIVE
apple ceo tim cook comes out as gay apple httptcoeufqqpmjj via poshnet,NEUTRAL
rt bellabong apple u need to get ur fucking shit together and let me txt while on youtube,NEGATIVE
apple disney why cant i buy any version let alone the version i actually like of star wars on itunesmovies stupid lame starwars,NEGATIVE
apple timcook perhaps a less malleable metal for the shell of the iphonesplus noticedsomecurve,NEUTRAL
macbook pro nonretina first startup httptcolrkolq via youtube apple macbook macbookpro startup hipster,NEUTRAL
macbook pro in unboxing httptcofimybpxf via youtube apple macbook macbookpro startup hipster unboxing,NEUTRAL
ipad mini unboxing httptcognlywna via youtube apple ipadmini ipad macbook macbookpro startup hipster unboxing,NEUTRAL
ipad mini first time startup httptcovghnzzs via youtube apple ipadmini ipad macbook macbookpro startup hipster unbox,NEUTRAL
apple where the ipod at doe,NEUTRAL
can apple drop audio only rendition requirement for ios apps users hate it no other stores want it other platforms dont know what it is,NEGATIVE
none too happy with apple mac os x yosemite file vault or boot camp right now thankful to own a lenovo,NEGATIVE
iphones to emerge spring with apple apple watch tuesday december httptconngluvywm,NEUTRAL
all my apps on apple ipodtouchthgen httptcocrhwdbsxsx httptcounppuzrrq,NEUTRAL
i demand there be a tapatio emoji apple,NEGATIVE
my apps apple ipodtouchthgen httptcottezgarbxd httptcobuawltgi,NEUTRAL
aapl call america for free until christmas tesco cuts costs for relaunch httptcoujvbkqvfqj,NEUTRAL
so for the second time aapl pages ate my edits bn amateurs fail iwantjobsback,NEGATIVE
feel so lost with out my phone apple iphone chargers are horrendous brokenchargerprobs,NEGATIVE
aaplapple heads to trial over digital music claimshttptcovopysuivki,NEUTRAL
excellent news houseofcards s on netflix i wonder if yosemite amp my wifi will be talking by then apple timcook its been wks,NEGATIVE
apple my laptop is burning my legs what do u have to say about this,NEGATIVE
benhll netflix apple timcook great news hope your wifi gets sorted though,POSITIVE
the secret of life from steve jobs in seconds some motivation from the late ceo of apple httptcouoykecyn,NEUTRAL
best stevejobs apple aapl tech httptcofkrkgifg via,NEUTRAL
hammerarcade this makes me feel so sad why do u have to be so rood apple,NEGATIVE
i hate these apple earphones so bad why in the world did they think it was a good idea to p httptcoxligaqeg httptcoihrogzas,NEGATIVE
quentinnield apple i need to reinstall on my apple ipad,NEUTRAL
apple i salut you kcdentons photo httptconmwlvzvjhs,POSITIVE
macbook pro nonretina first startup httptcolrkolq via youtube apple macbook macbookpro startup hipster,NEUTRAL
macbook pro in unboxing httptcofimybpxf via youtube apple macbook macbookpro startup hipster unboxing,NEUTRAL
ipad mini unboxing httptcognlywna via youtube apple ipadmini ipad macbook macbookpro startup hipster unboxing,NEUTRAL
ipad mini first time startup httptcovghnzzs via youtube apple ipadmini ipad macbook macbookpro startup hipster unbox,NEUTRAL
smartphonetablet to become home automation hub how can any wireless protocol beat wifi and bluetooth apple homekit shortcutlabs flic,NEUTRAL
options outlook amid heavy week of economic events httptcojhjfsg aapl goog googl tsla wmt premarket markets,NEUTRAL
why you dying so fast phone fuck you apple,NEGATIVE
remuuusss apple fix this,NEGATIVE
its been said dont talk about politics but i cant take it anymr ill still post about cisco apple and others but we need change,NEUTRAL
holy shit what have i missed what did obama do this time stocks nasdaq nyse aapl dowj httptcozmkpxyjk,0
does anybody knows how to use on a macbook pro retina us keyboard thank you so much apple macbook pro apple keyboard,NEUTRAL
the best guest behind apples rapid stock price decline yesterday is algorithmic trading bn wiped off by automatic computer trades aapl,NEUTRAL
apple awarded patent augmented reality devices w transparent displays httptcouwfnvajgu httptcoyuhqsrlob,NEUTRAL
apple apple iphone iphone iphones iphoneproblems someone fucking help me someone who works at apple fucking help me do ur job cunts,NEGATIVE
wtf apple synching notes or icloud pages is unusable it used to be easier,NEGATIVE
nasdaq recent market exit sold aapl long for a gain in days aapl forex trading stocks,NEUTRAL
hey apple fuck you just let me change stores,NEGATIVE
about to write a huge fuck you to apple for not letting me make reservations to get my laptop fixed,NEGATIVE
apple tumbles as much as percent in unusual trading aapl aapl httptcowtdvpbmu,NEGATIVE
angusdick yes had that exact issue took it to apple for a free battery replacement trackpad ended up being fine,NEUTRAL
jimcramer says machines caused apples big drop aapl httptcopfzqnhh,NEGATIVE
maxscottslade apple yeah the trackpad is fine and working now but i had to damage one of the screw holdings to get the battery out,NEGATIVE
video shows size of inch ipad air plus mockup next to iphones ipads and macbook httptcobvxstz aapl,NEUTRAL
rt elnuevoherald steve jobs clave en juicio contra apple httptcoiceofgkmq httptcoedirmahxn,NEUTRAL
apple fail since updating my ipad os there is a bug that does not delete videos and free up memory forcing httptcoajddtfnn,NEGATIVE
apple opening new retail store in toledo ohio saturday december mac blog httptcoynkgeljsl aapl,NEUTRAL
why morgan stanley is negative on apple and the tech sector aapl aapl httptcowarheyueh,NEUTRAL
google is now beating apple in this one key sector aapl aapl httptcowvcxxxxlds,NEUTRAL
bbc news evidence by late steve jobs to be used in music trial aapl httptcoidxppuwjy,NEUTRAL
my alarm was set the ringer was on and it just refused to work fuck u apple,NEGATIVE
twitter facebook alibabatalk google apple n more in race to win payments whats future of payments startups microsave fintechhub,NEUTRAL
im lost because its deer season but there is no deer emoji come on apple how am i suppose to show the love to all my huntin friendz,NEGATIVE
neimanmarcus utilizing ibeacons for engagement to send messages to apple passbook personalization httptcocvnqluhno via pymnts,NEUTRAL
technology news apple trial to feature unseen late stevejobs video deposition httptcoyvyotpdmzp,NEUTRAL
apple i figured out memory issue on my ipad it wasnt a bug but a new hidden folder that stores our images httptcovekieqldp,NEGATIVE
we will be in room at today presenting on our experience with apple dep and jamfsoftware herewegolakers,NEUTRAL
aaplpacific crests apple analyst reiterates selling some shareshttptcozjxddln,NEUTRAL
pacific crests apple analyst reiterates selling some shares aapl aapl httptcowmosfzhzzi,NEUTRAL
applelawsuit depends on exactly what apple did to hold backbeat their competition there are fair game competitive tactics amp unfair s yk,NEGATIVE
aapl audio auto sales due apple lawsuit heads to courthttptcokvbloln,NEUTRAL
apples pt raised by canaccord genuity to buy rating httptconhvslzoe aapl aapl,NEUTRAL
apples pt raised by canaccord genuity to buy rating httptcotbdmdejea aapl aapl,NEUTRAL
iphone has too many issues why tf is the earphone plug in not working apple u better fix this shit for free,NEGATIVE
cheap chromebooks teach apple a lesson price matters aapl aapl httptcogucyrcmf,NEUTRAL
mcmillanstu dpz but trying to get launch info ahead of time from telco marketing teams was a nightmare thanks apple ecomchat,NEGATIVE
benzingas top premarket losers httptcovfusrhxqx aapl gold nem news nvax premarket markets,0
dear apple replace my phone my battery sucks,NEGATIVE
apple heads to trial over itunes update aapl httptcobevwxgycvk,NEUTRAL
from beyond the grave rt gma jurors set hear fr star witness at apple trial steve jobs httptcokehryvyas httptcokgvfdbtfs,NEUTRAL
apple heads to trial over digital music claims appl tech,NEUTRAL
fantastic service today apple store touchwood thanks to all amp esp zach for sorting my battery problem so quickly amp efficiently,POSITIVE
heres why apple dropped aapl aapl httptcoqoakfys,NEUTRAL
apple intraday comments preopening premium users aapl stockaction trading stocks mkt httptcogtedlcbz,NEUTRAL
losskitty apple its always like that with new products from apple,NEUTRAL
rt laurrynk dear apple replace my phone my battery sucks,NEGATIVE
thisdueemarco apple thats annoying they never get stuff right the first time,NEGATIVE
jimcramer what is going on with aapl,NEUTRAL
apple lower as analyst sees risk of sharp production cuts for iphone plus in q aapl aapl httptcosqetceojpq,NEUTRAL
rt jpdesloges apple lower as analyst sees risk of sharp production cuts for iphone plus in q aapl aapl httptcosqetceojpq,NEUTRAL
rt laurrynk dear apple replace my phone my battery sucks,NEGATIVE
thestreet apple gets price target boost on back of strong iphone demand aapl httptcofqtgibddq,POSITIVE
aapl mt fortunemagazine can apple clear name in ebooks drama eddy cue says hed do it again but take better notes httptcoxcyyyjtk,NEUTRAL
apple with now dual core technology httptcosqvovvtf,POSITIVE
pacific crests apple analyst reiterates selling some shares forbes aapl httptcowrgdhxig,NEUTRAL
every student deserves a chance apple connected txed,NEUTRAL
im surprised there isnt more talk about what looked like a flash crash in aapl yesterday biggest range in years and largely ignored,NEGATIVE
im surprised there isnt more talk about what looked like a flash crash in aapl yesterday biggest range in years and largely ignored,NEGATIVE
a lack of equal access to technology places students and minorities at a disadvantage education is the great equalizer apple txed,NEUTRAL
justinpulitzer looking for aapl,0
rt ratingsnetwork apples pt raised by canaccord genuity to buy rating httptconhvslzoe aapl aapl,NEUTRAL
apple fibonacci technicals levels intraday preopening aapl aapl httptcolffygub,NEUTRAL
realmac software launches typed a markdown writing app featuring a minimal interface mac blog httptcohqgile aapl,NEUTRAL
mazeonpace apple product line competes with itself iphone vs ipad who needs an ipad any longer,NEUTRAL
aaplfast money recap energy companies ebb and flow with oil priceshttptcoqrwllgclk,NEUTRAL
enjoying the introductions at the apple connected launch event some amazing edtech leaders in the room txed,POSITIVE
got a new phone apple iphoneplus httptcovrronfpukg,POSITIVE
more applewatch details exposed aapl httptcopevfamkco,NEUTRAL
aapl aapl dailywedge httptcorskkgmjshz,0
us government attempts hail mary to get apple to unlock iphones aapl httptcoezuscczgi,NEUTRAL
apple fibonacci technicals levels intraday update aapl aapl httptcopenljajir,NEUTRAL
cnbc will make you poor cl just got slammed like aapl yesterdayyesterday pisini please put on your clown shoes when you report,0
heres why apple wont be a trillion dollar company according to billionaire vc jim breyer aapl httptcotqvmvyb,NEGATIVE
chromebooks overtake apples ipads in us education market httptcoirwrgxox apple googlechrome chromebooks ipad,NEGATIVE
apple inc is doomed aapl dropped by currently priced at httptcokpkmjsbf aapl,NEGATIVE
imagine a world without cracked iphone screens apple patents drop protection mechanism httptcocoorkepbx httptcodqtmhdmmr,NEUTRAL
apple healthkit first movers featured at mhealthsummit mobiquitys own snyderg also panelist mhealth httptcomrltwcnpe,NEUTRAL
aaplhow to remove apple pay credit cards remotely from httptcojpdhwdeeehttptcoxgbbpcjw,NEUTRAL
apple wants you to stop taking vertical photos httptcoawnuqmzzk via outsidemagazine,NEGATIVE
best steve jobs emails apple stevejobs aapl httptcopjhevkubh,NEUTRAL
apple is reportedly planning a inch ipad that will be like microsofts surface aapl aapl httptcoahkjeekqdi,NEUTRAL
apple apple patents an iphone drop protection mechanism that changes device tuesday december httptcowvsaippsw,NEUTRAL
props for apple itc app review team for reviewing metadata rejected resubmission in just hours thanks,POSITIVE
apple bears get paid as put contracts double amid drop httptcokdnlucyz news aapl applebears appleoptions apple iphone news,NEUTRAL
apple yall some hoes,NEGATIVE
whats at the core of apples new ios excellent updates for your phones mobilesecurity mcafee httptcopvozvdq,POSITIVE
thanks apple for keep newer when transferring files from a local hard drive to a server,POSITIVE
does apple store in georgetown sell refurbd ipads or just new are refurbs only available online,NEUTRAL
apple fibonacci technicals levels intraday update aapl aapl httptcokfnpjphi,NEUTRAL
apple flash crash what you need to know aapl httptcopbthsfeee,NEUTRAL
why estimates of a trillion market cap for apple are still farfetched fundamental and algorithmic analysis aapl httptcottydgdwc,NEUTRAL
capitolization apple i believe they are only online but you may be able to ship to store,NEUTRAL
did you notice that apple apps now say get instead of free this change was due to alleged misleading labeling httptcoinsikrqp,NEGATIVE
apple intraday comments updated range premium users aapl stockaction trading stocks mkt httptcogtedlcbz,NEUTRAL
aapl market cap passes billion tablet sales slump and more httptcogwdmiyago,NEUTRAL
drewbsaunders thanks also interestingly apple isnt apple,NEUTRAL
shortyawards apple it is very confusing u wonder if it means u are going to get a bill later for ur download please use free if its free,NEGATIVE
elgato launches thunderbolt dock with k resolution support mac blog httptcosofxphvlb aapl,NEUTRAL
the sony epaper fes watch is the coolest piece of wearable tech yet sorry apple httptcorsjsmkf by luchanglu via bustle,NEUTRAL
finally gave up on return of apple macbook pro model my retina is out for delivery theyll probably announce one next month,NEUTRAL
apple intraday comments updated new range premium users aapl stockaction trading stocks mkt httptcogtedlcbz,NEUTRAL
apple loses ground to google in education tablet sales aapl aapl httptcoapcehzle,NEGATIVE
apple computer inc aapl rated buy with price target by canaccord genuity httptcosmhvteehp aapl,NEUTRAL
apple what do i need to do if my mac has been really slow lately,NEGATIVE
apple fibonacci technicals levels intraday update aapl aapl httptcoplryyds,NEUTRAL
rt trahall enjoying the introductions at the apple connected launch event some amazing edtech leaders in the room txed,POSITIVE
aapl aapl green right now hope it stays,NEUTRAL
rt gregsherry customer service successes amp fails apple amp southwestair examples httptcojgjplzd dkusnetzky custserv cx cem,NEUTRAL
sprint offering to halve wireless bills for customers switching from atampt or verizon ios blog httptcochvmxehiy aapl,NEUTRAL
affluent apple users outspend android users but what do the numbers really mean aapl aapl httptcooluutmey,NEUTRAL
new meaning to soviet jokes whatever we produce it turns out as tank russia seeks kalashnikov to rival apple httptcobdcwgdy,NEUTRAL
your stupid as shit upgrade has ruined the god damned ide apple,NEGATIVE
you pieces of shit apple god damnit man,NEGATIVE
hey apple how come i cant make genius bar appointments online anymore,NEGATIVE
have apples ipad sales peaked aapl httptcozdutvivys,NEUTRAL
what happened rt khaleel you pieces of shit apple god damnit man,NEGATIVE
apple gets price target boost on back of strong iphone demand aapl aapl httptcociglbsyfl,NEUTRAL
aapl reasons apple could have fallen yesterdayhttptcorvjrehijf,NEUTRAL
apple pay compuserve btc the internet,NEUTRAL
apple lower following cautious pac crest deutsche notes aapl crus httptcoqesxiwzuik,NEUTRAL
awesome apple invented peanutbuttersandwich technology for phones httptcodpzpoqzthx,POSITIVE
apple fibonacci technicals levels intraday update aapl aapl httptcoeyegtzg,NEUTRAL
lol fuck you im still not buying a new one apple httptcoxhqovbnfzk,NEGATIVE
aapl buy reiterated target raised to by canaccord genuity aapl brief explanation here httpstcoqsolkvgn aapl,NEUTRAL
aaplcanaccord ups apple price target to a sharehttptcoceaolsz,NEUTRAL
economic temperature spiking or terrorist attack either way how youre not all in via zerohedge aapl httptcoafxpzmbb,NEUTRAL
apple has caused me so much pain today,NEGATIVE
as apple apple still struggles to meet iphone demand canaccord raises price tuesday december httptcoorhjunkm,NEGATIVE
not cool apple not cool you just baitandswitched me into paying for an upgrade to server after a free upgd to,NEGATIVE
steve wozniak to star in an upcoming reality tv show focusing on futuristic tech mac blog httptcovjajepi aapl,NEUTRAL
iphone shortages not helping radioshack as consumer sales plummet httptcouvregmoh aapl,NEGATIVE
stevejobs will be a crucial witness against apple in an ipod antitrust suit via bgr aapl httptcobbhgtuym,NEUTRAL
thestreet android phones to dominate through while ios phone revenue will dazzle goog aapl httptcobsqskpffo,POSITIVE
thestreet apple gets price target boost on back of strong iphone demand aapl httptcofqtgibddq,NEUTRAL
rt jopocop thestreet apple gets price target boost on back of strong iphone demand aapl httptcofqtgibddq,NEUTRAL
apple should fight new court case over stevejobs drm decision forbes aapl httptcohmhtmbhio,NEUTRAL
